event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(CR),13F(SL),14F(SL),15F(SL),16F(SL),17F(CR),18F(CR),MR(pos)
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,15,FRA,France,Clement Bourgeois,FRACB67,,235,152,14,11,(18),12,13,(16),14,7,17,8,13,(20),(29),13,7,1,18,4,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,16,ARU,Aruba,Ethan Westera,ARUEW3,,269.7,158.7,(8),8,8,(13),4,4 RDG,4,4,18,10,(51),14,(39) BFD,15,11,21.7 RDG,12,25,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,17,ISR,Israel,Tomer Vardimon,ISRTV1,,296,173,4,5,7,6,(20),11,(22),20,22,12,(36),21,9,9,7,29,(45),11,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,18,BRA,Brazil,Mateus Isaac,BRAMI1,,340,174,7,8 RDG,(12),5,6,12,12,(58) RET,8,23,(38),13,23,17,9,19,(58) DSQ,12,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,19,FRA,France,Titouan Le Bosq,FRATL41,,276,194,5,4,(11),2,(6),6,3,6,20,4,20,8,(33),31,27,31,(32),27,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,20,FRA,France,Pierre Le Coq,FRAPL12,,305.8,194.8,(20),16.6 RDG,13,16.6 RDG,12,16,15,(19),(33),20,5,9,23,11,(39) BFD,17,6,14.6 RDG,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,21,SUI,Switzerland,Elia Colombo,SUIEC2,,342,198,10,(13),10,11,13,8,6,(15),(58) BFD,28,(58) BFD,22,9,7,23,33,2,16,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,22,ESP,Spain,Nacho Baltasar Summers,ESPNS15,,305,205,13,(32),(22),14,8,15,16,10,19,19,(23),(23),15,13,17,13,20,13,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,23,ITA,Italy,Daniele Benedetti,ITADB41,,307.4,207.4,3,3.4 RDG,3,4,7,5,(8),(17),24,(36),18,35,31,23,(39) BFD,25,16,10,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,24,GBR,Great Britain,Andy Brown,GBRAB164,,346,208,(20),18,14,7,16,(29),17,8,15,15,31,(47),17,35,5,3,(42),7,-
