event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 ,R9 Gold,R10 Gold,R11 Gold,R12 Gold,R13 Gold,R14 Gold,R15 Gold,R16 Gold,F1 Medal,F2 Medal
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,59,FRA,France,Jean Baptiste Bernaz / Jeremie Mion,FRAJB13 / FRATM11,FRA 51,267,232,8,13,13,25,15,7,27,24,33,32,14,21,(35) DNC,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,60,JPN,Japan,Teruaki Shimakura / Shintaro Kamisonoda,JPNTS27 / JPNSK40,JPN 310,189,159,17,13,21,12,15,14,21,(30),2,5,-,10,11,18,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,61,GER,Germany,Johann Sach / Anton Sach,GERJS161 / GERAS102,GER 281,184,161,12,20,17,8,32 DNE,20,(23),12,16,12,-,7,2,3,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,62,GBR,Great Britain,William Pank / Thommie Grit,NEDTG6 / GBRWP13,GBR 999,196,166,20,24,(30),24,28,26,10,5,7,3,-,1,1,17,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,63,GBR,Great Britain,Sam Jones / Tristan Ahlheid,GBRSJ35 / GBRTA40,GBR 102,204,172,(32) DNC,11,24,20,17,8,28,11,1,17,-,24,7,4,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,64,DEN,Denmark,Simon Christoffersen / Carl Laurits Schouw Nielsen,DENCS23 / DENSC11,DEN 266,220,189,14,16,13,21,10,21,(31),22,20,25,-,4,18,5,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,65,AUS,Australia,Luke Rogers / Kristian Bilston,AUSKB29 / AUSLR19,AUS 550,231,199,(32) DNC,32 DNC,12,18,20,19,17,14,6,21,-,3,30,7,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,66,CZE,Czechia,Lukáš Kraus / Ondrej Baštár,CZELK7 / CZEOB2,CZE 817,230,200,13,22,(30),27,23,21,19,28,4,20,-,14,8,1,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,67,HUN,Hungary,Attila Tóth / Levente Borda,HUNLB10 / HUNAT8,HUN 375,235,203,(32) DNF,18,29,25,19,32 DNF,17,26,9,1,-,9,6,12,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,68,AIN,Individual Neutral Athletes,Vasilii Bogdanov / Danila Rerikh,AINXDR1 / AINXVB1,AIN 969,235,205,6,13,21,26,18,15,25,23,(30),13,-,12,17,16,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,69,IND,India,Prince Noble / Manu Kuringal,INDPK9 / INDMK5,IND 301,234,206,23,15,20,23,24,23,22,14,11,16,-,6,9,(28),-,-,-,-
